Study G — 16 faults x 5 regimes x 10 ICs = 800 solves
  [approach] admissible 1.000 (128/128); rejects: {}
  [dispersed] admissible 0.875 (112/128); rejects: {'outside_glide_cone': 16}
  [upset] admissible 1.000 (128/128); rejects: {}
  [low_late] admissible 0.797 (102/128); rejects: {'outside_glide_cone': 26}
  [critical] admissible 0.828 (106/128); rejects: {'outside_glide_cone': 22}
  [G] 711/800  6669s elapsed
  [G] 712/800  6670s elapsed
  [G] 713/800  6670s elapsed
  [G] 714/800  6682s elapsed
  [G] 715/800  6693s elapsed
  [G] 716/800  6695s elapsed
  [G] 717/800  6697s elapsed
  [G] 718/800  6706s elapsed
  [G] 719/800  6722s elapsed
  [G] 720/800  6724s elapsed
  [G] 721/800  6732s elapsed
  [G] 722/800  6733s elapsed
  [G] 723/800  6736s elapsed
  [G] 724/800  6737s elapsed
  [G] 725/800  6746s elapsed
  [G] 726/800  6747s elapsed
  [G] 727/800  6747s elapsed
  [G] 728/800  6760s elapsed
  [G] 729/800  6778s elapsed
  [G] 730/800  6782s elapsed
  [G] 731/800  6789s elapsed
  [G] 732/800  6792s elapsed
  [G] 733/800  6794s elapsed
  [G] 734/800  6801s elapsed
  [G] 735/800  6805s elapsed
  [G] 736/800  6806s elapsed
  [G] 737/800  6811s elapsed
  [G] 738/800  6818s elapsed
  [G] 739/800  6823s elapsed
  [G] 740/800  6828s elapsed
  [G] 741/800  6834s elapsed
  [G] 742/800  6841s elapsed
  [G] 743/800  6847s elapsed
  [G] 744/800  6855s elapsed
  [G] 745/800  6857s elapsed
  [G] 746/800  6859s elapsed
  [G] 747/800  6869s elapsed
  [G] 748/800  6870s elapsed
  [G] 749/800  6883s elapsed
  [G] 750/800  6883s elapsed
  [G] 751/800  6894s elapsed
  [G] 752/800  6895s elapsed
  [G] 753/800  6896s elapsed
  [G] 754/800  6905s elapsed
  [G] 755/800  6907s elapsed
  [G] 756/800  6908s elapsed
  [G] 757/800  6910s elapsed
