F_auth_frac,F_authority,F_dim,F_min_support,F_origin,F_size,F_size_frac,F_sup_frac,F_vol_frac,F_volume,M_auth_frac,M_authority,M_dim,M_min_support,M_origin,M_size,M_size_frac,M_sup_frac,M_vol_frac,M_volume,applicable,category,fault,label,n_eng,n_rcs,tier,vehicle,worst_unit
1.0000002826229177,135045.7545903833,3,1219.4570154425467,True,7527959735711.285,2.8262551012804513,1.0,2.8262551012804513,7527959735711.285,0.9722566762903174,146096.2723150602,3,17799.368570467766,True,938678447647875.1,0.9881345103530298,1.0,0.9881345103530298,938678447647875.1,True,Crewed Vehicles,tvc_bias,"TVC misalignment (3°, 2°)",8,16,engine,Crew Dragon (Dragon 2),7
,,,,,,,,,,,,,,,,,,,,False,Crewed Vehicles,gimbal_seized,Gimbal seizure,8,16,engine,Crew Dragon (Dragon 2),n/a
0.962944215244031,130041.4914233689,3,-17729.239316206018,False,2564184941656.373,0.9626832536848178,-14.538634073766014,0.9626832536848178,2564184941656.373,0.9633551120206554,144758.6776352966,3,16353.987603627167,True,879538790463982.4,0.925878967637327,0.9187959414898157,0.925878967637327,879538790463982.4,True,Crewed Vehicles,valve_stuck_open,Valve stuck open (30 % floor),8,16,engine,Crew Dragon (Dragon 2),6
0.9992597945539612,134945.7548486081,3,940.3592078055465,True,2271255757031.5195,0.8527075588849982,0.7711294419543651,0.8527075588849982,2271255757031.5195,0.9985126817457641,150041.63429247617,3,17119.69801490866,True,878848567667886.6,0.9251523791379707,0.9618149063620831,0.9251523791379707,878848567667886.6,True,Crewed Vehicles,rcs_out,RCS thruster dead,8,16,rcs,Crew Dragon (Dragon 2),9
0.9992597945539612,134945.7548486081,3,940.3592078055465,True,2271255757031.499,0.8527075588849904,0.7711294419543651,0.8527075588849904,2271255757031.499,0.9985126817457641,150041.63429247617,3,17119.69801490866,True,878848567667886.6,0.9251523791379707,0.9618149063620831,0.9251523791379707,878848567667886.6,True,Crewed Vehicles,rcs_stuck_open,RCS thruster stuck open,8,16,rcs,Crew Dragon (Dragon 2),8
0.0,0.0,0,0.0,True,0.0,0.0,nan,nan,0.0,nan,0.0,0,0.0,True,0.0,nan,nan,nan,0.0,True,Deep Space Probes,engine_out,Engine out,1,0,engine,Juno,0
0.15,24.1875,1,0.0,True,96.75,0.15,nan,nan,0.0,nan,0.0,0,0.0,True,0.0,nan,nan,nan,0.0,True,Deep Space Probes,thrust_loss_85,"Thrust reduction, $\eta$=0.15",1,0,engine,Juno,0
0.5,80.625,1,0.0,True,322.5,0.5,nan,nan,0.0,nan,0.0,0,0.0,True,0.0,nan,nan,nan,0.0,True,Deep Space Probes,thrust_loss_50,"Thrust reduction, $\eta$=0.50",1,0,engine,Juno,0
1.3,209.625,1,0.0,True,838.5,1.3,nan,nan,0.0,nan,0.0,0,0.0,True,0.0,nan,nan,nan,0.0,True,Deep Space Probes,thrust_excess,"Thrust excess, $\eta$=1.30",1,0,engine,Juno,0
1.0000022880874286,161.25036895409787,1,0.0,True,644.9999999999998,0.9999999999999997,nan,nan,0.0,nan,17.7450948599396,1,0.0,True,70.9739751735789,nan,nan,nan,0.0,True,Deep Space Probes,tvc_bias,"TVC misalignment (3°, 2°)",1,0,engine,Juno,0
,,,,,,,,,,,,,,,,,,,,False,Deep Space Probes,gimbal_seized,Gimbal seizure,1,0,engine,Juno,n/a
0.7,112.875,1,-192.85500000000002,False,451.5000000000001,0.7000000000000002,nan,nan,0.0,nan,0.0,0,0.0,True,0.0,nan,nan,nan,0.0,True,Deep Space Probes,valve_stuck_open,Valve stuck open (30 % floor),1,0,engine,Juno,0
